;K01;K02;K03;K04;K05;K06;K07;K08;K09;K10;;;;
T1016;70;28;40;88;54;73;39;16;29;34;T1016;471;;
T1017;45;75;17;87;42;12;57;51;50;43;T1017;479;;
T1018;82;27;32;63;57;18;90;60;20;34;T1018;483;;
T1019;19;85;72;83;99;71;75;52;92;88;T1019;736;;
T1020;81;63;13;17;91;73;31;36;90;72;T1020;567;;
T1021;72;95;70;42;87;65;80;57;39;97;T1021;704;;
T1022;73;37;86;29;42;10;46;12;45;39;T1022;419;;
T1023;55;38;34;85;90;72;94;66;88;11;T1023;633;;
T1024;94;21;18;41;43;17;48;89;41;80;T1024;492;;
T1025;50;53;51;77;30;72;73;11;41;39;T1025;497;;
T1026;25;99;78;66;26;80;18;29;10;73;T1026;504;;
T1027;25;89;32;42;30;67;34;23;95;71;T1027;508;;
T1028;74;36;98;16;13;83;14;36;35;10;T1028;415;;
T1029;63;14;96;36;79;80;52;32;85;24;T1029;561;;
T1030;65;38;68;64;99;78;66;51;77;61;T1030;667;;
T1031;85;78;66;59;86;81;95;48;83;90;T1031;771;;
T1032;44;51;55;59;64;90;100;58;49;16;T1032;586;;
T1033;30;42;52;57;54;17;45;67;89;91;T1033;544;;
T1034;58;59;70;17;86;92;23;80;41;34;T1034;560;;
T1035;55;77;33;13;64;10;70;32;21;33;T1035;408;;
T1036;66;64;60;94;77;88;72;43;79;25;T1036;668;;
T1037;56;90;20;39;89;78;52;83;24;100;T1037;631;;
T1038;25;30;18;27;14;45;96;99;43;54;T1038;451;;
T1039;23;32;74;17;53;87;98;25;39;97;T1039;545;;
T1040;48;100;86;37;62;38;91;12;39;59;T1040;572;;
T1041;100;93;26;22;27;45;34;58;40;68;T1041;513;;
T1042;77;42;76;47;11;69;43;34;19;31;T1042;449;;
T1043;92;67;59;60;23;41;16;20;100;78;T1043;556;;
T1044;80;79;95;84;95;41;12;44;34;29;T1044;593;;
T1045;58;89;99;89;98;99;32;92;51;34;T1045;741;;
T1046;51;61;36;80;29;68;54;72;79;68;T1046;598;;
T1047;67;45;97;58;98;15;14;33;27;15;T1047;469;;
T1048;42;70;70;45;12;25;66;44;32;32;T1048;438;;
T1049;73;54;92;10;47;97;29;23;89;38;T1049;552;;
T1050;90;79;91;68;44;41;47;73;17;23;T1050;573;;
T1051;83;60;69;49;21;15;53;36;94;38;T1051;518;;
T1052;44;32;70;83;49;14;11;15;91;13;T1052;422;;
T1053;49;63;44;53;51;36;19;91;10;23;T1053;439;;
T1054;72;68;60;89;65;41;95;86;35;75;T1054;686;;
T1055;13;91;58;39;60;29;11;60;44;52;T1055;457;;
T1056;90;59;54;57;20;78;26;97;88;98;T1056;667;;
T1057;45;59;38;49;98;62;98;63;49;78;T1057;639;;
T1058;75;32;38;86;96;33;25;52;57;72;T1058;566;;
T1059;84;36;96;38;53;23;15;66;13;61;T1059;485;;
T1060;76;39;84;90;52;72;51;71;100;72;T1060;707;;
T1061;90;82;76;60;77;100;21;64;10;70;T1061;650;;
T1062;39;57;48;54;70;37;22;79;38;31;T1062;475;;
T1063;93;70;95;66;24;57;35;58;11;99;T1063;608;;
T1064;26;51;91;36;100;64;94;15;95;14;T1064;586;;
T1065;30;79;20;23;35;69;42;67;74;35;T1065;474;;
T1066;86;64;55;49;31;44;86;66;45;43;T1066;569;;
T1067;79;44;12;38;57;60;100;49;72;58;T1067;569;;
T1068;79;64;24;93;28;98;50;66;48;14;T1068;564;;
T1069;47;58;51;37;44;84;20;67;67;41;T1069;516;;
T1070;32;27;73;91;12;36;36;87;41;24;T1070;459;;
T1071;49;15;85;28;100;85;57;32;97;14;T1071;562;;
T1072;21;75;40;42;22;74;56;58;85;68;T1072;541;;
T1073;59;28;33;37;93;44;60;51;97;87;T1073;589;;
T1074;55;100;45;29;31;71;42;33;61;31;T1074;498;;
T1075;45;13;72;80;54;10;56;40;41;43;T1075;454;;
T1076;98;13;99;60;64;30;88;23;80;69;T1076;624;;
T1077;96;68;85;39;39;53;79;51;36;73;T1077;619;;
T1078;40;42;53;50;14;76;44;85;81;48;T1078;533;;
T1079;60;11;58;76;27;87;71;78;25;27;T1079;520;;
T1080;46;30;55;17;10;13;33;94;40;81;T1080;419;;
T1081;58;56;12;77;53;94;18;50;62;21;T1081;501;;
T1082;46;77;79;12;65;17;42;64;100;84;T1082;586;;
T1083;13;42;99;80;13;88;49;60;87;59;T1083;590;;
T1084;25;35;89;92;20;68;53;50;68;100;T1084;600;;
T1085;84;69;53;16;56;77;35;11;19;89;T1085;509;;
T1086;53;71;40;77;40;11;71;64;36;14;T1086;477;;
T1087;16;43;87;69;94;78;73;94;48;42;T1087;644;;
T1088;41;14;71;73;26;60;68;24;54;33;T1088;464;;
T1089;81;28;40;23;90;82;83;82;59;43;T1089;611;;
T1090;94;21;91;41;61;96;76;99;100;100;T1090;779;;
T1091;65;17;69;97;93;52;29;13;89;14;T1091;538;;
T1092;79;44;88;82;64;68;74;61;36;20;T1092;616;;
T1093;92;100;76;20;20;67;95;47;93;66;T1093;676;;
T1094;68;25;100;58;95;53;65;61;36;35;T1094;596;;
T1095;49;100;13;93;83;84;16;70;73;58;T1095;639;;
T1096;33;81;88;27;97;80;66;33;30;63;T1096;598;;
T1097;21;27;30;38;47;64;86;30;83;49;T1097;475;;
T1098;66;70;19;14;92;34;93;19;75;75;T1098;557;;
T1099;37;29;15;21;29;99;87;34;95;53;T1099;499;;
T1100;13;27;90;58;65;87;75;85;16;74;T1100;590;;
T1101;52;21;17;52;26;33;92;21;85;81;T1101;480;;
T1102;10;27;62;53;87;95;98;40;17;36;T1102;525;;
T1103;61;56;23;93;23;100;56;15;30;28;T1103;485;;
T1104;92;85;81;20;16;24;97;50;48;78;T1104;591;;
T1105;25;74;99;22;71;31;99;76;61;18;T1105;576;;
T1106;57;60;81;75;87;56;66;39;43;41;T1106;605;;
T1107;42;53;45;70;45;44;47;51;40;80;T1107;517;;
T1108;11;99;91;83;54;73;93;24;50;11;T1108;589;;
T1109;42;24;58;96;99;22;71;84;49;97;T1109;642;;
T1110;84;63;73;27;76;39;85;97;86;56;T1110;686;;
T1111;60;92;91;15;61;22;99;23;87;61;T1111;611;;
T1112;46;71;96;90;50;46;96;25;75;11;T1112;606;;
T1113;53;53;24;84;88;84;55;26;94;77;T1113;638;;
T1114;27;88;37;76;64;72;99;71;90;17;T1114;641;;
T1115;47;33;70;18;68;51;87;14;15;46;T1115;449;;
T1116;85;39;36;36;10;78;69;52;34;90;T1116;529;;
T1117;31;84;13;71;31;96;24;93;59;32;T1117;534;;
T1118;61;44;68;88;55;69;25;48;39;91;T1118;588;;
T1119;10;59;64;73;42;24;34;68;25;28;T1119;427;;
T1120;100;11;77;85;15;12;100;31;73;64;T1120;568;;
T1121;32;56;76;96;24;28;18;39;60;47;T1121;476;;
T1122;87;25;85;20;27;44;24;51;15;13;T1122;391;;
T1123;21;79;98;45;72;54;94;18;93;10;T1123;584;;
T1124;51;55;79;60;43;63;77;26;85;67;T1124;606;;
T1125;78;35;69;77;89;24;44;46;62;89;T1125;613;;
T1126;63;79;71;94;26;79;69;41;73;23;T1126;618;;
T1127;49;31;89;64;14;89;95;27;28;92;T1127;578;;
T1128;57;89;69;57;27;51;41;94;66;73;T1128;624;;
T1129;30;78;50;49;63;61;14;73;97;93;T1129;608;;
T1130;66;56;75;86;91;71;54;13;91;51;T1130;654;;
T1131;34;79;52;23;21;48;86;15;68;40;T1131;466;;
T1132;74;78;72;69;51;87;57;88;12;43;T1132;631;;
T1133;17;77;74;18;42;65;28;47;100;21;T1133;489;;
T1134;78;50;33;40;48;98;34;32;71;19;T1134;503;;
T1135;23;35;41;34;42;58;54;93;94;38;T1135;512;;
T1136;87;30;69;22;17;84;71;80;27;54;T1136;541;;
T1137;60;23;38;80;26;46;72;59;50;85;T1137;539;;
T1138;15;85;60;14;58;78;79;81;16;59;T1138;545;;
T1139;27;72;79;61;50;66;73;31;89;90;T1139;638;;
T1140;20;76;94;34;17;58;54;84;60;38;T1140;535;;
T1141;68;92;26;52;53;90;68;24;14;28;T1141;515;;
T1142;52;33;94;69;68;92;89;40;12;59;T1142;608;;
T1143;58;33;61;93;43;48;16;81;93;27;T1143;553;;
T1144;27;81;81;87;100;92;22;74;18;94;T1144;676;;
T1145;100;37;62;36;74;68;65;34;17;60;T1145;553;;
T1146;87;57;48;16;70;48;16;92;95;55;T1146;584;;
T1147;75;25;41;55;100;55;46;45;79;47;T1147;568;;
T1148;70;47;93;66;83;28;68;60;71;18;T1148;604;;
T1149;80;53;50;30;17;19;20;19;77;29;T1149;394;;
T1150;88;33;67;27;83;64;82;70;78;84;T1150;676;;
T1151;48;80;20;77;67;68;32;94;65;72;T1151;623;;
T1152;88;57;35;43;60;38;14;71;37;86;T1152;529;;
T1153;59;68;81;25;12;52;44;10;28;91;T1153;470;;
T1154;70;32;78;80;46;89;88;21;99;53;T1154;656;;
T1155;42;45;26;90;53;30;92;16;70;43;T1155;507;;
T1156;46;21;73;54;43;22;25;72;12;92;T1156;460;;
T1157;41;15;90;64;82;58;86;55;46;76;T1157;613;;
T1158;48;35;64;57;37;63;14;32;41;99;T1158;490;;
T1159;14;44;42;76;88;66;53;25;65;72;T1159;545;;
T1160;61;66;89;23;90;76;27;49;97;85;T1160;663;;
T1161;67;88;66;56;14;30;90;64;78;91;T1161;644;;
T1162;95;28;54;74;79;85;12;10;51;20;T1162;508;;
T1163;96;59;39;21;65;21;57;44;15;42;T1163;459;;
T1164;96;47;52;23;16;67;50;80;39;14;T1164;484;;
T1165;52;47;52;69;68;15;67;46;22;53;T1165;491;;
T1166;26;27;57;59;21;58;75;21;69;61;T1166;474;;
T1167;94;70;45;29;41;66;27;48;82;61;T1167;563;;
T1168;93;61;33;13;97;53;19;45;65;20;T1168;499;;
T1169;40;84;55;90;77;22;58;79;87;37;T1169;629;;
T1170;99;36;49;24;10;83;67;30;59;57;T1170;514;;
T1171;73;41;48;76;24;66;30;67;10;17;T1171;452;;
T1172;53;79;62;80;30;45;58;49;30;81;T1172;567;;
T1173;43;44;21;47;18;53;57;26;28;46;T1173;383;;
T1174;20;46;81;24;45;54;58;63;19;66;T1174;476;;
T1175;12;50;52;65;62;95;47;47;56;93;T1175;579;;
T1176;12;37;65;10;84;72;28;98;93;35;T1176;534;;
T1177;97;35;31;92;66;32;89;63;41;29;T1177;575;;
T1178;35;14;74;15;24;24;73;68;53;52;T1178;432;;
T1179;70;47;74;21;97;20;10;21;55;98;T1179;513;;
T1180;32;69;17;10;69;67;49;96;21;62;T1180;492;;
T1181;90;22;15;77;40;100;12;81;56;75;T1181;568;;
T1182;79;89;57;66;69;41;32;72;43;32;T1182;580;;
T1183;61;12;10;64;57;95;44;15;79;13;T1183;450;;
T1184;48;17;49;20;19;55;32;100;43;17;T1184;400;;
T1185;92;23;61;79;19;66;32;85;20;74;T1185;551;;
T1186;12;74;40;86;29;66;44;54;58;92;T1186;555;;
T1187;36;59;20;33;18;87;62;89;43;13;T1187;460;;
T1188;13;73;74;17;66;97;23;43;45;45;T1188;496;;
T1189;43;54;20;41;78;50;53;29;91;15;T1189;474;;
T1190;43;25;37;47;45;30;62;65;79;27;T1190;460;;
T1191;84;52;37;41;45;82;76;95;65;23;T1191;600;;
T1192;94;97;32;70;89;92;94;88;75;44;T1192;775;;
T1193;89;57;43;55;23;79;11;99;21;73;T1193;550;;
T1194;55;94;94;53;81;46;76;47;84;34;T1194;664;;
T1195;62;85;99;84;91;42;62;55;37;95;T1195;712;;
T1196;68;26;59;58;45;69;47;51;22;24;T1196;469;;
T1197;62;52;80;90;38;84;26;91;90;63;T1197;676;;
T1198;56;57;93;96;96;23;48;26;20;17;T1198;532;;
T1199;24;16;14;89;100;45;43;80;15;51;T1199;477;;
T1200;84;100;21;20;25;74;35;20;43;40;T1200;462;;
T1201;68;74;14;58;41;20;85;36;91;78;T1201;565;;
T1202;38;20;24;79;39;96;19;74;73;29;T1202;491;;
T1203;44;19;31;19;94;73;55;94;61;61;T1203;551;;
T1204;88;51;49;42;33;83;60;78;14;24;T1204;522;;
T1205;38;87;58;24;74;11;21;12;26;29;T1205;380;;
T1206;35;70;50;71;72;96;85;44;75;98;T1206;696;;
T1207;43;48;62;31;43;11;65;45;71;48;T1207;467;;
T1208;22;43;21;78;62;63;50;13;10;47;T1208;409;;
T1209;68;79;13;59;84;51;35;36;97;49;T1209;571;;
T1210;61;75;48;34;50;31;32;89;65;68;T1210;553;;
T1211;44;82;21;19;34;34;42;44;26;42;T1211;388;;
T1212;52;32;54;10;73;55;79;88;28;28;T1212;499;;
T1213;98;46;94;76;81;80;16;42;32;50;T1213;615;;
T1214;38;65;63;21;67;15;73;51;21;85;T1214;499;;
T1215;100;27;29;14;33;49;52;77;45;94;T1215;520;;
T1216;100;17;85;54;70;31;17;98;15;88;T1216;575;;
T1217;22;78;12;79;54;71;77;23;11;80;T1217;507;;
T1218;66;64;50;66;96;62;61;34;22;18;T1218;539;;
T1219;71;62;43;69;67;83;31;66;79;81;T1219;652;;
T1220;58;70;92;18;32;83;80;98;27;26;T1220;584;;
T1221;87;36;59;65;47;26;36;94;56;12;T1221;518;;
T1222;50;89;54;42;30;69;56;71;25;43;T1222;529;;
T1223;68;90;53;27;66;72;74;19;78;68;T1223;615;;
T1224;40;58;76;27;100;15;44;80;38;87;T1224;565;;
T1225;70;11;11;36;73;69;43;15;58;30;T1225;416;;
T1226;35;19;10;75;74;92;88;18;87;24;T1226;522;;
T1227;93;92;32;68;38;72;33;53;45;65;T1227;591;;
T1228;12;90;71;98;31;83;75;89;18;51;T1228;618;;
T1229;36;35;64;28;32;59;31;57;83;99;T1229;524;;
T1230;52;53;34;83;34;86;25;35;14;10;T1230;426;;
T1231;42;42;59;22;90;99;30;84;90;11;T1231;569;;
T1232;64;100;87;70;14;12;17;56;44;58;T1232;522;;
T1233;22;68;86;56;86;54;42;58;39;49;T1233;560;;
T1234;69;14;14;81;30;84;45;35;61;44;T1234;477;;
T1235;56;23;24;12;50;36;20;92;84;82;T1235;479;;
T1236;94;48;83;26;79;67;37;46;58;83;T1236;621;;
T1237;13;96;23;37;92;48;21;36;45;45;T1237;456;;
T1238;51;71;59;11;88;68;13;30;26;26;T1238;443;;
T1239;18;34;90;68;68;12;14;44;28;21;T1239;397;;
T1240;69;39;94;43;84;88;48;79;43;64;T1240;651;;
T1241;77;71;21;30;29;14;59;33;34;95;T1241;463;;
T1242;98;94;61;76;27;44;94;87;18;29;T1242;628;;
T1243;67;53;95;74;94;21;39;13;94;44;T1243;594;;
T1244;48;49;38;76;44;10;66;10;59;98;T1244;498;;
T1245;68;55;46;12;94;71;23;85;90;36;T1245;580;;
T1246;16;38;38;90;55;75;66;94;89;45;T1246;606;;
T1247;14;44;14;98;30;94;31;29;72;34;T1247;460;;
T1248;80;65;47;74;75;98;44;80;54;75;T1248;692;;
T1249;47;86;99;36;85;19;73;39;14;13;T1249;511;;
T1250;25;39;96;31;50;66;18;31;57;90;T1250;503;;
T1251;70;68;69;96;57;75;60;45;26;67;T1251;633;;
T1252;59;36;32;62;75;69;79;53;83;37;T1252;585;;
T1253;12;28;30;75;40;98;69;86;79;49;T1253;566;;
T1254;21;93;55;58;47;76;48;30;51;39;T1254;518;;
T1255;89;19;76;88;54;31;34;25;98;93;T1255;607;;
T1256;84;70;26;18;11;71;93;62;19;29;T1256;483;;
T1257;50;99;97;38;25;86;69;27;37;98;T1257;626;;
T1258;82;31;77;65;58;12;10;86;98;32;T1258;551;;
T1259;85;56;17;19;10;100;37;76;11;21;T1259;432;;
T1260;51;45;68;68;95;84;71;81;49;94;T1260;706;;
T1261;35;67;12;29;92;12;85;50;36;29;T1261;447;;
T1262;71;55;90;77;84;71;44;26;70;31;T1262;619;;
T1263;13;71;44;88;50;22;84;75;70;89;T1263;606;;
T1264;43;64;40;13;66;48;14;60;48;19;T1264;415;;
T1265;64;60;16;87;57;81;29;54;87;28;T1265;563;;
T1266;26;23;14;68;20;74;96;33;35;89;T1266;478;;
T1267;62;98;95;43;65;52;66;72;84;64;T1267;701;;
T1268;64;35;77;67;34;90;80;47;32;97;T1268;623;;
T1269;37;20;63;72;94;64;44;14;46;17;T1269;471;;
T1270;17;44;87;44;17;46;79;67;20;96;T1270;517;;
T1271;16;61;82;43;56;90;95;56;36;67;T1271;602;;
T1272;73;42;17;50;39;43;66;76;94;64;T1272;564;;
T1273;31;17;49;77;42;98;93;77;31;100;T1273;615;;
T1274;98;91;13;20;30;43;19;69;38;63;T1274;484;;
T1275;74;56;72;75;18;81;50;32;70;41;T1275;569;;
T1276;50;87;40;13;42;36;88;53;62;26;T1276;497;;
T1277;79;84;73;59;50;52;90;36;12;54;T1277;589;;
T1278;20;50;13;21;22;35;60;92;78;88;T1278;479;;
T1279;38;29;94;84;32;14;28;38;52;83;T1279;492;;
T1280;61;89;81;63;30;23;76;62;40;62;T1280;587;;
T1281;62;25;59;85;52;75;100;48;48;83;T1281;637;;
T1282;64;14;37;77;71;100;23;79;45;94;T1282;604;;
T1283;17;96;17;10;32;51;49;67;84;46;T1283;469;;
T1284;81;93;84;38;39;44;74;18;29;94;T1284;594;;
T1285;15;67;12;93;38;63;92;71;14;69;T1285;534;;
T1286;50;97;29;66;39;70;93;76;22;14;T1286;556;;
T1287;82;37;32;68;73;22;54;98;15;77;T1287;558;;
T1288;63;66;95;65;17;64;42;38;19;33;T1288;502;;
T1289;23;35;86;33;12;51;92;30;24;99;T1289;485;;
T1290;89;98;97;55;40;93;22;73;63;44;T1290;674;;
T1291;80;92;27;34;73;77;29;42;94;77;T1291;625;;
T1292;100;57;12;25;61;80;65;28;63;32;T1292;523;;
T1293;65;17;69;73;64;74;67;64;69;48;T1293;610;;
T1294;21;41;88;39;63;48;44;47;92;25;T1294;508;;
T1295;20;27;35;55;93;49;35;12;80;55;T1295;461;;
T1296;94;97;13;39;58;19;41;98;32;76;T1296;567;;
T1297;62;12;43;25;18;77;94;30;82;13;T1297;456;;
T1298;80;44;30;53;59;54;50;59;15;35;T1298;479;;
T1299;55;85;80;80;80;95;59;42;49;95;T1299;720;;
T1300;36;39;82;89;18;33;72;97;62;16;T1300;544;;
T1301;76;63;47;69;90;23;83;73;51;38;T1301;613;;
T1302;48;20;35;89;91;30;53;39;39;83;T1302;527;;
T1303;57;16;47;34;39;61;92;21;42;74;T1303;483;;
T1304;53;85;76;42;62;23;57;20;15;43;T1304;476;;
T1305;36;13;14;13;42;39;63;73;58;76;T1305;427;;
T1306;35;64;81;62;20;54;83;25;67;70;T1306;561;;
T1307;45;53;37;32;81;99;78;72;50;41;T1307;588;;
T1308;14;73;80;54;69;14;57;30;97;40;T1308;528;;
T1309;88;28;88;59;16;76;32;18;70;31;T1309;506;;
T1310;93;47;22;34;11;95;71;82;31;84;T1310;570;;
T1311;99;95;14;12;44;68;92;91;80;44;T1311;639;;
T1312;72;53;89;74;17;55;94;24;92;88;T1312;658;;
T1313;29;99;39;57;39;24;15;18;57;46;T1313;423;;
T1314;19;74;24;78;47;82;19;70;61;39;T1314;513;;
T1315;61;35;32;60;13;71;34;41;11;15;T1315;373;;
T1316;78;44;41;58;74;38;47;82;27;56;T1316;545;;
T1317;72;71;25;62;40;16;22;44;57;45;T1317;454;;
T1318;62;56;73;17;78;19;96;11;18;99;T1318;529;;
T1319;16;24;63;63;39;30;54;45;29;94;T1319;457;;
T1320;29;32;14;38;59;75;46;85;49;89;T1320;516;;
T1321;53;15;48;89;29;37;92;94;77;43;T1321;577;;
T1322;94;50;80;33;25;87;28;96;84;26;T1322;603;;
T1323;83;90;52;12;87;82;15;20;89;58;T1323;588;;
T1324;14;16;57;52;49;49;78;45;66;57;T1324;483;;
T1325;42;65;47;14;66;72;50;68;16;23;T1325;463;;
T1326;42;11;34;67;41;81;11;31;51;87;T1326;456;;
T1327;38;10;82;38;68;85;18;97;61;90;T1327;587;;
T1328;39;54;76;10;30;66;17;18;41;16;T1328;367;;
T1329;10;12;90;56;60;65;33;52;25;48;T1329;451;;
T1330;61;50;77;12;30;62;91;97;75;84;T1330;639;;
T1331;74;84;24;32;34;27;21;67;31;29;T1331;423;;
T1332;10;95;96;81;26;94;85;74;60;51;T1332;672;;
T1333;11;94;98;28;76;73;48;81;86;13;T1333;608;;
T1334;80;40;60;66;79;86;74;90;29;24;T1334;628;;
T1335;80;61;57;32;37;26;40;40;12;54;T1335;439;;
T1336;22;47;84;12;17;38;23;59;39;42;T1336;383;;
T1337;77;70;21;89;100;80;36;15;65;53;T1337;606;;
T1338;76;86;58;74;42;80;16;11;72;51;T1338;566;;
T1339;24;65;42;69;79;34;14;85;86;84;T1339;582;;
T1340;97;58;16;45;85;33;57;90;66;46;T1340;593;;
T1341;35;15;66;51;68;75;13;59;61;21;T1341;464;;
T1342;97;63;86;52;78;41;74;48;62;24;T1342;625;;
T1343;25;50;63;31;65;49;47;50;88;80;T1343;548;;
T1344;54;77;19;39;69;32;32;66;25;59;T1344;472;;
T1345;57;12;82;95;76;15;82;25;52;37;T1345;533;;
T1346;12;10;65;36;40;77;70;42;85;72;T1346;509;;
T1347;35;93;91;66;43;32;74;10;35;95;T1347;574;;
T1348;10;11;29;46;38;30;38;11;75;34;T1348;322;;
T1349;31;56;50;92;83;72;79;32;74;22;T1349;591;;
T1350;36;22;49;95;93;28;55;42;99;11;T1350;530;;
T1351;95;98;73;58;92;91;10;68;11;67;T1351;663;;
T1352;45;46;82;84;76;68;47;41;63;48;T1352;600;;
T1353;99;51;72;16;80;30;27;15;13;83;T1353;486;;
T1354;15;80;75;60;57;16;23;98;100;27;T1354;551;;
T1355;22;15;62;30;55;35;26;17;65;56;T1355;383;;
T1356;87;89;84;82;78;59;70;72;10;89;T1356;720;;
T1357;55;27;47;33;31;13;62;46;86;82;T1357;482;;
T1358;66;17;10;99;65;99;48;23;79;76;T1358;582;;
T1359;61;63;46;71;33;57;29;81;22;16;T1359;479;;
T1360;18;81;93;25;12;10;97;75;18;70;T1360;499;;
T1361;54;18;73;88;51;71;41;45;54;51;T1361;546;;
T1362;23;94;96;91;14;45;63;66;15;37;T1362;544;;
T1363;10;80;36;13;82;34;80;90;76;49;T1363;550;;
T1364;56;14;44;44;71;19;88;39;100;14;T1364;489;;
T1365;42;71;21;33;73;72;16;25;17;14;T1365;384;;
T1366;84;87;85;99;79;18;10;72;28;92;T1366;654;;
T1367;62;36;19;60;56;20;57;37;42;36;T1367;425;;
T1368;25;77;56;44;86;11;52;22;15;98;T1368;486;;
T1369;58;35;93;98;83;92;57;100;42;41;T1369;699;;
T1370;35;27;70;98;37;10;49;46;20;47;T1370;439;;
T1371;57;62;62;84;79;84;73;58;91;20;T1371;670;;
T1372;73;61;33;59;60;86;79;60;89;78;T1372;678;;
T1373;88;91;15;89;45;27;74;13;25;86;T1373;553;;
T1374;57;61;82;90;40;21;53;53;89;34;T1374;580;;
T1375;53;49;27;20;62;42;27;33;47;19;T1375;379;;
T1376;30;14;76;22;46;26;48;33;45;44;T1376;384;;
T1377;71;45;97;94;51;96;14;30;36;17;T1377;551;;
T1378;34;75;57;77;62;81;100;60;89;32;T1378;667;;
T1379;65;11;29;71;18;20;15;73;47;69;T1379;418;;
T1380;41;94;61;38;59;88;12;70;19;30;T1380;512;;
T1381;30;58;45;14;32;37;32;77;70;75;T1381;470;;
T1382;68;91;100;20;36;17;86;83;30;24;T1382;555;;
T1383;94;68;34;90;86;16;87;59;27;100;T1383;661;;
T1384;69;97;85;70;73;91;84;96;35;12;T1384;712;;
T1385;44;43;17;90;87;34;77;89;29;72;T1385;582;;
T1386;56;41;70;91;80;84;28;28;96;89;T1386;663;;
T1387;17;35;54;98;90;14;53;64;27;46;T1387;498;;
T1388;91;59;67;31;28;30;74;60;23;50;T1388;513;;
T1389;34;86;14;21;39;92;59;57;95;77;T1389;574;;
T1390;38;45;94;88;86;65;15;89;80;59;T1390;659;;
T1391;87;22;29;70;45;24;63;41;80;24;T1391;485;;
T1392;10;82;95;18;14;48;65;29;64;38;T1392;463;;
T1393;72;46;98;80;16;49;86;16;97;11;T1393;571;;
T1394;65;93;82;68;53;14;90;45;34;74;T1394;618;;
T1395;22;33;32;47;80;71;30;28;92;92;T1395;527;;
T1396;42;28;22;63;47;78;83;71;30;61;T1396;525;;
T1397;65;22;34;17;27;89;24;94;29;73;T1397;474;;
T1398;95;81;46;96;16;79;76;62;14;76;T1398;641;;
T1399;97;18;11;21;62;76;33;31;99;20;T1399;468;;
T1400;88;36;96;62;20;43;59;41;55;56;T1400;556;;
T1401;87;24;48;28;11;29;64;73;47;95;T1401;506;;
T1402;68;68;70;58;100;41;83;54;93;22;T1402;657;;
T1403;90;25;40;56;57;89;90;76;76;22;T1403;621;;
T1404;67;36;70;34;58;26;88;31;16;82;T1404;508;;
T1405;91;27;40;80;53;74;55;88;36;74;T1405;618;;
T1406;70;55;54;28;19;27;96;71;64;97;T1406;581;;
T1407;13;74;39;29;27;81;84;49;58;37;T1407;491;;
T1408;17;55;87;91;84;65;57;51;63;66;T1408;636;;
T1409;63;94;47;42;92;54;33;54;42;86;T1409;607;;
T1410;40;70;36;18;50;11;31;76;28;14;T1410;374;;
T1411;60;70;72;81;19;36;27;57;23;31;T1411;476;;
T1412;28;32;73;23;47;42;72;18;83;45;T1412;463;;
T1413;46;64;80;38;100;10;74;19;99;37;T1413;567;;
T1414;33;37;84;65;19;17;92;41;100;77;T1414;565;;
T1415;69;74;23;49;85;16;55;25;18;97;T1415;511;;
T1416;49;86;28;84;84;44;41;27;37;80;T1416;560;;
T1417;31;43;75;59;36;69;87;16;24;46;T1417;486;;
T1418;84;17;11;31;99;30;64;88;88;11;T1418;523;;
T1419;51;58;28;48;31;98;15;92;71;68;T1419;560;;
T1420;74;15;60;82;64;20;60;57;15;72;T1420;519;;
T1421;31;36;46;29;28;46;38;71;40;46;T1421;411;;
T1422;15;42;66;90;16;70;83;35;73;77;T1422;567;;
T1423;89;84;56;88;89;10;34;86;44;61;T1423;641;;
T1424;86;16;48;19;85;45;89;82;25;83;T1424;578;;
T1425;44;60;39;82;72;64;83;47;32;37;T1425;560;;
T1426;11;65;31;29;11;43;12;89;82;42;T1426;415;;
T1427;89;56;31;39;81;72;55;14;94;34;T1427;565;;
T1428;28;80;12;40;58;38;25;22;76;35;T1428;414;;
T1429;85;69;62;34;89;84;73;41;26;54;T1429;617;;
T1430;25;93;84;95;87;81;55;16;20;83;T1430;639;;
T1431;89;29;95;13;59;27;74;33;97;60;T1431;576;;
T1432;35;76;57;47;36;33;45;52;68;37;T1432;486;;
T1433;32;10;100;33;31;20;31;33;48;56;T1433;394;;
T1434;67;65;33;80;74;10;94;58;90;58;T1434;629;;
T1435;21;47;68;38;13;45;91;83;28;76;T1435;510;;
T1436;25;14;35;59;62;42;44;28;30;76;T1436;415;;
T1437;37;15;15;85;44;42;58;23;38;18;T1437;375;;
T1438;39;18;42;44;30;77;24;20;25;58;T1438;377;;
T1439;19;100;19;25;71;98;96;15;74;25;T1439;542;;
T1440;48;13;49;70;48;22;28;12;30;20;T1440;340;;
T1441;12;53;42;28;78;61;88;13;80;63;T1441;518;;
T1442;52;74;51;78;21;62;95;10;34;86;T1442;563;;
T1443;89;25;15;76;65;61;60;100;91;25;T1443;607;;
T1444;50;98;77;11;34;92;99;78;64;95;T1444;698;;
T1445;67;95;52;64;10;52;10;83;99;92;T1445;624;;
T1446;91;72;41;81;61;98;14;79;47;28;T1446;612;;
T1447;83;54;95;74;41;81;51;52;16;43;T1447;590;;
T1448;43;69;56;97;94;41;56;70;87;36;T1448;649;;
T1449;67;11;89;77;53;11;41;41;89;96;T1449;575;;
T1450;41;77;99;86;83;55;51;72;99;14;T1450;677;;
T1451;82;63;32;85;29;66;69;58;72;41;T1451;597;;
